admin1,month,protest_count,repression_events,protest_count_t1
Aceh,2019-01-01,6,0,1
Aceh,2019-02-01,1,0,2
Aceh,2019-03-01,2,0,3
Aceh,2019-04-01,3,1,5
Aceh,2019-05-01,5,0,3
Aceh,2019-06-01,3,0,3
Aceh,2019-07-01,3,0,12
Aceh,2019-08-01,12,1,11
Aceh,2019-09-01,11,2,3
Aceh,2019-10-01,3,0,0
Aceh,2019-11-01,0,0,6
Aceh,2019-12-01,6,1,4
Aceh,2020-01-01,4,0,2
Aceh,2020-02-01,2,0,2
Aceh,2020-03-01,2,0,1
Aceh,2020-04-01,1,0,4
Aceh,2020-05-01,4,0,4
Aceh,2020-06-01,4,0,3
Aceh,2020-07-01,3,0,4
Aceh,2020-08-01,4,0,8
Aceh,2020-09-01,8,0,5
Aceh,2020-10-01,5,0,10
Aceh,2020-11-01,10,0,2
Aceh,2020-12-01,2,1,1
Aceh,2021-01-01,1,0,2
Aceh,2021-02-01,2,0,10
Aceh,2021-03-01,10,2,4
Aceh,2021-04-01,4,0,2
Aceh,2021-05-01,2,0,4
Aceh,2021-06-01,4,0,1
Aceh,2021-07-01,1,0,6
Aceh,2021-08-01,6,1,3
Aceh,2021-09-01,3,0,7
Aceh,2021-10-01,7,0,6
Aceh,2021-11-01,6,1,4
Aceh,2021-12-01,4,1,6
Aceh,2022-01-01,6,0,9
Aceh,2022-02-01,9,0,16
Aceh,2022-03-01,16,0,6
Aceh,2022-04-01,6,1,5
Aceh,2022-05-01,5,0,2
Aceh,2022-06-01,2,0,2
Aceh,2022-07-01,2,0,5
Aceh,2022-08-01,5,0,21
Aceh,2022-09-01,21,1,9
Aceh,2022-10-01,9,0,5
Aceh,2022-11-01,5,0,9
Aceh,2022-12-01,9,1,9
Aceh,2023-01-01,9,0,10
Aceh,2023-02-01,10,0,5
Aceh,2023-03-01,5,0,4
Aceh,2023-04-01,4,0,10
Aceh,2023-05-01,10,0,7
Aceh,2023-06-01,7,0,6
Aceh,2023-07-01,6,0,14
Aceh,2023-08-01,14,1,10
Aceh,2023-09-01,10,0,17
Aceh,2023-10-01,17,0,19
Aceh,2023-11-01,19,0,17
Aceh,2023-12-01,17,0,10
